extension,File Format,count,NARA Format ID
sum,Checksum File,5129,NF00411
21,Unidentified,5120,
locals,Unidentified,5100,
nyt,Unidentified,5096,
cu_,Unidentified,5041,
enb,Unidentified,5013,
od,Unidentified,4986,
dcb,Unidentified,4973,
ascx,Microsoft ASP.NET User Control File,4955,NF00731
tcl,TCL/TK Script,4937,
html,Hypertext Markup Language (4.0),4886,
stmp,Apple Soundtrack Pro Project,4877,NF00815
a|lib,Static Library,4810,NF00199
txt,EBCDIC-US,4810,
ocx,Portable Executable file unspecified version,4809,
axd,ASP.NET HTTP Handler File,4806,NF00735
km3,Unidentified,4730,
png,Portable Network Graphics (1.1),4690,
rll,Unidentified,4687,
mo,Unidentified,4680,
com,Command File,4677,
cnt,WinHelp File Table of Contents,4643,NF00756
nl_,Unidentified,4625,
cst,Adobe Director cast file,4611,NF00688
rdf,Resource Description Framework (RDF) XML Triple,4587,NF00605
result,Unidentified,4568,
tt_,Unidentified,4562,
xml,Extensible Markup Language (1.0),4559,
obj,Wavefront 3D Object File,4552,NF00755
wpg,WordPerfect Graphics 1.0,4551,NF00787
wpg,WordPerfect Graphics 2.0,4551,NF00788
2017,Unidentified,4457,
info,Information or Setup File,4436,NF00211
doc,Stationary for Mac OS X,4414,
ps,PostScript unspecified version,4400,
dotx,Microsoft Word Open Office XML Template,4386,NF00590
5,Unidentified,4382,
cca,CC:Mail archive,4340,NF00772
tlb,Microsoft OLE User Interface,4325,
pst--b,Unidentified,4300,
fla,Macromedia Flash project,4280,NF00727
prg,Program File,4268,
ipd,BlackBerry Backup file,4264,
06,Unidentified,4252,
olk14f,Unidentified,4246,
rb,Rocket Book eBook format,4232,NF00726
let,Broderbund The Print Shop Letterhead,4200,NF00713
27,Unidentified,4176,
pn_,Unidentified,4173,
rpm,Red Hat Package Manager file,4163,
uf3,8-bit ASCII Text,4135,
po,Unidentified,4124,
fpt,FoxPro Memo,4120,NF00275
thm,Thumbnail Image,4119,
dng,Tagged Image File Format (6),4101,
dng,Tagged Image File Format (4),4101,
dng,Tagged Image File Format (5),4101,
dng,Tagged Image File Format (3),4101,
m4v,Apple Video file,4101,NF00780
nef,Tagged Image File Format (4),4079,
nef,Tagged Image File Format (6),4079,
nef,Tagged Image File Format (5),4079,
nef,Tagged Image File Format (3),4079,
shx,AutoCAD Compiled Shape File,4077,
xs3,Unidentified,4075,
kfg,Unidentified,4063,
wk3,Lotus 1-2-3 Worksheet 3.0,4058,NF00230
05,Unidentified,4028,
jp_,Unidentified,4023,
s08,8-bit ASCII Text,4005,
hps,Unidentified,3984,
wb3,Quattro Pro Spreadsheet 7-8,3978,NF00527
msi,Windows Installer Package,3975,NF00757
pef|ptx,Pentax RAW,3974,NF00475
55,Unidentified,3935,
wa_,Unidentified,3903,
